"","file","rate","title"
"514","15078.txt","FAILURE"," idle hour stories "
"515","16535.txt","FAILURE"," myth and romance being a book of verses "
"516","17619.txt","FAILURE"," a jongleur strayed verses on love and other matters sacred and profane "
"517","19443.txt","FAILURE"," our profession and other poems "
"518","22289.txt","FAILURE"," the conuercyon of swerers (the conversion of swearers) "
"519","22326.txt","FAILURE"," the c�forte of louers the comfort of lovers "
"520","27700.txt","FAILURE"," the rose-jar "
"521","1246.txt","SUCCESS"," the house of dust; a symphony "
"522","16229.txt","SUCCESS"," the poems of henry van dyke "
"523","1745.txt","SUCCESS"," the poetical works of john milton "
"524","19819.txt","SUCCESS"," milton's comus "
"525","20158.txt","SUCCESS"," the works of lord byron. vol. 4 "
"526","21628.txt","SUCCESS"," imaginary conversations and poems a selection "
"527","27199.txt","SUCCESS"," japanese prints "
"528","30501.txt","SUCCESS"," collected poems volume one "
"529","574.txt","SUCCESS"," poems of william blake "
"530","841.txt","SUCCESS"," ""men"
"531","13908.txt","FAILURE"," pipes o'pan at zekesbury "
"532","14531.txt","FAILURE"," the singing man a book of songs and shadows "
"533","15079.txt","FAILURE"," ""green fields and running brooks"
"534","16735.txt","FAILURE"," ""lays of ancient virginia"
"535","17936.txt","FAILURE"," poems "
"536","19836.txt","FAILURE"," early spring "
"537","22637.txt","FAILURE"," a little window "
"538","26611.txt","FAILURE"," enthusiasm and other poems "
"539","27731.txt","FAILURE"," the new world "
"540","9372.txt","FAILURE"," songs out of doors "
"541","10133.txt","SUCCESS"," ""the vigil of venus and other poems by """"q"""""" "
"542","13621.txt","SUCCESS"," ""the poems of jonathan swift"
"543","14353.txt","SUCCESS"," ""the poems of jonathan swift"
"544","16839.txt","SUCCESS"," sixteen poems "
"545","19978.txt","SUCCESS"," 35 sonnets "
"546","21777.txt","SUCCESS"," the years between "
"547","23538.txt","SUCCESS"," hugh selwyn mauberley "
"548","30568.txt","SUCCESS"," ""kipling stories and poems every child should know"
"549","8795.txt","SUCCESS"," ""the divine comedy by dante"
"550","8799.txt","SUCCESS"," ""the divine comedy by dante"
"551","10367.txt","FAILURE"," poems "
"552","10518.txt","FAILURE"," poems "
"553","11564.txt","FAILURE"," ""an essay on war"
"554","14869.txt","FAILURE"," soldier songs and love songs "
"555","15101.txt","FAILURE"," the mountain spring and other poems "
"556","16821.txt","FAILURE"," the scarlet gown being verses by a st. andrews man "
"557","18009.txt","FAILURE"," ""sagittulae"
"558","21509.txt","FAILURE"," ""rowena & harold a romance in rhyme of an olden time"
"559","22803.txt","FAILURE"," helen redeemed and other poems "
"560","26675.txt","FAILURE"," the masque of the elements "
"561","1459.txt","SUCCESS"," prufrock and other observations "
"562","1567.txt","SUCCESS"," poems "
"563","19315.txt","SUCCESS"," the poems of giacomo leopardi "
"564","2002.txt","SUCCESS"," sonnets from the portuguese "
"565","22403.txt","SUCCESS"," poems of gerard manley hopkins now first published "
"566","25631.txt","SUCCESS"," a poetical cook-book "
"567","28665.txt","SUCCESS"," sea garden "
"568","36773.txt","SUCCESS"," oxford lectures on poetry "
"569","6081.txt","SUCCESS"," biographia literaria "
"570","6796.txt","SUCCESS"," the poems of schiller � third period "
"571","11006.txt","FAILURE"," the book with the yellow cover "
"572","12095.txt","FAILURE"," more bywords "
"573","14871.txt","FAILURE"," poems "
"574","16108.txt","FAILURE"," debris selections from poems "
"575","17065.txt","FAILURE"," ""interludes being two essays"
"576","18658.txt","FAILURE"," in macao "
"577","22032.txt","FAILURE"," later poems "
"578","23392.txt","FAILURE"," the hours of fiammetta a sonnet sequence "
"579","27139.txt","FAILURE"," a leaf from the old forest "
"580","9465.txt","FAILURE"," songs of two "
"581","1211.txt","SUCCESS"," a selection from the lyrical poems of robert herrick "
"582","12977.txt","SUCCESS"," black beetles in amber "
"583","17081.txt","SUCCESS"," cottage poems "
"584","2003.txt","SUCCESS"," spirits in bondage; a cycle of lyrics "
"585","22421.txt","SUCCESS"," the hesperides & noble numbers: vol. 1 and 2 "
"586","28903.txt","SUCCESS"," all that matters "
"587","30357.txt","SUCCESS"," select poems of thomas gray "
"588","442.txt","SUCCESS"," love songs "
"589","715.txt","SUCCESS"," the moon endureth: tales and fancies "
"590","9870.txt","SUCCESS"," war is kind "
"591","11194.txt","FAILURE"," vignettes in verse "
"592","13052.txt","FAILURE"," the mistress of the manse "
"593","14906.txt","FAILURE"," ""songs"
"594","16144.txt","FAILURE"," harry "
"595","17448.txt","FAILURE"," the auld doctor and other poems and songs in scots "
"596","18739.txt","FAILURE"," zophiel a poem "
"597","24312.txt","FAILURE"," the minstrel a collection of poems "
"598","26505.txt","FAILURE"," the old hanging fork and other poems "
"599","27333.txt","FAILURE"," pan and �olus: poems "
"600","9653.txt","FAILURE"," a wreath of virginia bay leaves poems of james barron hope "
"601","18109.txt","SUCCESS"," graveyard of dreams "
"602","18342.txt","SUCCESS"," the answer "
"603","19029.txt","SUCCESS"," the gifts of asti "
"604","24517.txt","SUCCESS"," accidental death "
"605","26955.txt","SUCCESS"," advanced chemistry "
"606","29019.txt","SUCCESS"," all cats are gray "
"607","29458.txt","SUCCESS"," cost of living "
"608","29548.txt","SUCCESS"," warrior race "
"609","29559.txt","SUCCESS"," they twinkled like jewels "
"610","30199.txt","SUCCESS"," mcilvaine's star "
"611","10391.txt","FAILURE"," the wolf's long howl "
"612","24927.txt","FAILURE"," a matter of magnitude "
"613","28156.txt","FAILURE"," minor detail "
"614","29601.txt","FAILURE"," see? "
"615","30329.txt","FAILURE"," black eyes and the daily grind "
"616","30382.txt","FAILURE"," ""say """"hello"""" for me"" "
"617","30386.txt","FAILURE"," the one and the many "
"618","30438.txt","FAILURE"," the eyes have it "
"619","30528.txt","FAILURE"," the day of the dog "
"620","30680.txt","FAILURE"," all day wednesday "
"621","22073.txt","SUCCESS"," the repairman "
"622","22966.txt","SUCCESS"," toy shop "
"623","22967.txt","SUCCESS"," the stoker and the stars "
"624","23210.txt","SUCCESS"," missing link "
"625","26066.txt","SUCCESS"," the cosmic express "
"626","28554.txt","SUCCESS"," beyond lies the wub "
"627","28698.txt","SUCCESS"," the crystal crypt "
"628","29492.txt","SUCCESS"," old rambling house "
"629","29614.txt","SUCCESS"," the game of rat and dragon "
"630","30234.txt","SUCCESS"," dead ringer "
"631","21541.txt","FAILURE"," ""quiet"
"632","25094.txt","FAILURE"," daughters of doom "
"633","28460.txt","FAILURE"," bolden's pets "
"634","29675.txt","FAILURE"," less than human "
"635","29676.txt","FAILURE"," identity "
"636","30330.txt","FAILURE"," high dragon bump "
"637","30383.txt","FAILURE"," spies die hard! "
"638","30454.txt","FAILURE"," blind spot "
"639","30539.txt","FAILURE"," the terrible answer "
"640","30683.txt","FAILURE"," the unthinking destroyer "
"641","21279.txt","SUCCESS"," 2 b r 0 2 b "
"642","22579.txt","SUCCESS"," bread overhead "
"643","27392.txt","SUCCESS"," lease to doomsday "
"644","28063.txt","SUCCESS"," the next logical step "
"645","28650.txt","SUCCESS"," year of the big thaw "
"646","29133.txt","SUCCESS"," shipwreck in the sky "
"647","29140.txt","SUCCESS"," the mathematicians "
"648","29504.txt","SUCCESS"," what's he doing in there? "
"649","29643.txt","SUCCESS"," death of a spaceman "
"650","30240.txt","SUCCESS"," the big trip up yonder "
"651","22470.txt","FAILURE"," the bell tone "
"652","28894.txt","FAILURE"," two plus two makes crazy "
"653","28922.txt","FAILURE"," compatible "
"654","28954.txt","FAILURE"," this is klon calling "
"655","29160.txt","FAILURE"," operation lorelie "
"656","29272.txt","FAILURE"," no hiding place "
"657","29356.txt","FAILURE"," such blooming talk "
"658","30468.txt","FAILURE"," ""holes"
"659","30649.txt","FAILURE"," last resort "
"660","30761.txt","FAILURE"," the minus woman "
"661","22958.txt","SUCCESS"," one-shot "
"662","23868.txt","SUCCESS"," vanishing point "
"663","26206.txt","SUCCESS"," pandemic "
"664","26521.txt","SUCCESS"," earthmen bearing gifts "
"665","27053.txt","SUCCESS"," the day time stopped moving "
"666","27462.txt","SUCCESS"," the last evolution "
"667","29142.txt","SUCCESS"," keep out "
"668","29503.txt","SUCCESS"," the hated "
"669","29750.txt","SUCCESS"," zen "
"670","30399.txt","SUCCESS"," pythias "
"671","22596.txt","FAILURE"," measure for a loner "
"672","25740.txt","FAILURE"," ambush a terran empire vignette "
"673","25742.txt","FAILURE"," hostage a terran empire story "
"674","29749.txt","FAILURE"," the flying cuspidors "
"675","30361.txt","FAILURE"," the stowaway "
"676","30379.txt","FAILURE"," field trip "
"677","30405.txt","FAILURE"," the clean and wholesome land "
"678","30475.txt","FAILURE"," with a vengeance "
"679","30670.txt","FAILURE"," mr. chipfellow's jackpot "
"680","30798.txt","FAILURE"," sonny "
"681","21627.txt","SUCCESS"," gambler's world "
"682","21782.txt","SUCCESS"," the yillian way "
"683","23146.txt","SUCCESS"," and all the earth a grave "
"684","24149.txt","SUCCESS"," the ambulance made two trips "
"685","26741.txt","SUCCESS"," i'm a stranger here myself "
"686","28062.txt","SUCCESS"," the man who saw the future "
"687","28893.txt","SUCCESS"," of time and texas "
"688","29303.txt","SUCCESS"," operation earthworm "
"689","29908.txt","SUCCESS"," the adventurer "
"690","32436.txt","SUCCESS"," duel on syrtis "
"691","24864.txt","FAILURE"," the great potlatch riots "
"692","26883.txt","FAILURE"," the sword and the atopen "
"693","28953.txt","FAILURE"," when i grow up "
"694","29599.txt","FAILURE"," homesick "
"695","29790.txt","FAILURE"," pleasant journey "
"696","30381.txt","FAILURE"," prelude to space "
"697","30437.txt","FAILURE"," larson's luck "
"698","30491.txt","FAILURE"," vital ingredient "
"699","30673.txt","FAILURE"," sound of terror "
"700","31123.txt","FAILURE"," the observers "
"701","10150.txt","SUCCESS"," dracula's guest "
"702","1883.txt","SUCCESS"," ""the wife"
"703","1944.txt","SUCCESS"," the witch and other stories "
"704","21279.txt","SUCCESS"," 2 b r 0 2 b "
"705","23661.txt","SUCCESS"," the book of dragons "
"706","25519.txt","SUCCESS"," little wizard stories of oz "
"707","2781.txt","SUCCESS"," just so stories "
"708","29019.txt","SUCCESS"," all cats are gray "
"709","30240.txt","SUCCESS"," the big trip up yonder "
"710","4357.txt","SUCCESS"," american fairy tales "
"711","11003.txt","FAILURE"," michelangelo's shoulder "
"712","13908.txt","FAILURE"," pipes o'pan at zekesbury "
"713","15986.txt","FAILURE"," th' barrel organ "
"714","18509.txt","FAILURE"," nick baba's last drink and other sketches "
"715","20255.txt","FAILURE"," the unruly sprite a partial fairy tale "
"716","23015.txt","FAILURE"," run to seed 1891 "
"717","23016.txt","FAILURE"," p'laski's tunament 1891 "
"718","23168.txt","FAILURE"," a ride with a mad horse in a freight-car 1898 "
"719","23549.txt","FAILURE"," wolf's head 1911 "
"720","23550.txt","FAILURE"," una of the hill country 1911 "
"721","1074.txt","SUCCESS"," the sea wolf "
"722","13707.txt","SUCCESS"," twice told tales "
"723","14967.txt","SUCCESS"," a gentleman vagabond and some others "
"724","22958.txt","SUCCESS"," one-shot "
"725","24811.txt","SUCCESS"," viking tales "
"726","27085.txt","SUCCESS"," rootabaga stories "
"727","28063.txt","SUCCESS"," the next logical step "
"728","29542.txt","SUCCESS"," the valor of cappen varra "
"729","3181.txt","SUCCESS"," the stolen white elephant "
"730","512.txt","SUCCESS"," mosses from an old manse and other stories "
"731","12095.txt","FAILURE"," more bywords "
"732","16860.txt","FAILURE"," a lover in homespun and other stories "
"733","18605.txt","FAILURE"," a pair of patient lovers "
"734","20493.txt","FAILURE"," stories and sketches "
"735","22837.txt","FAILURE"," the lost dahlia "
"736","22842.txt","FAILURE"," the widow's dog "
"737","23170.txt","FAILURE"," ""a brace of boys 1867"
"738","23221.txt","FAILURE"," the story of the little mamsell "
"739","23695.txt","FAILURE"," the little gray lady 1909 "
"740","3380.txt","FAILURE"," staccato notes of a vanished summer (from literature and life) "
"741","1197.txt","SUCCESS"," taras bulba and other tales "
"742","15859.txt","SUCCESS"," the piazza tales "
"743","17860.txt","SUCCESS"," stories from hans andersen "
"744","22073.txt","SUCCESS"," the repairman "
"745","22966.txt","SUCCESS"," toy shop "
"746","27200.txt","SUCCESS"," fairy tales of hans christian andersen "
"747","2814.txt","SUCCESS"," dubliners "
"748","29559.txt","SUCCESS"," they twinkled like jewels "
"749","3688.txt","SUCCESS"," the chronicles of clovis "
"750","689.txt","SUCCESS"," the kreutzer sonata and other stories "
"751","15078.txt","FAILURE"," idle hour stories "
"752","17065.txt","FAILURE"," ""interludes being two essays"
"753","18658.txt","FAILURE"," in macao "
"754","20541.txt","FAILURE"," the rocky island and other similitudes "
"755","23003.txt","FAILURE"," ""the new minister's great opportunity first published in the """"century magazine"""""" "
"756","23004.txt","FAILURE"," in madeira place 1887 "
"757","23165.txt","FAILURE"," ""the man who stole a meeting-house 1878"
"758","23411.txt","FAILURE"," sma�n; and safti's summer day 1905 "
"759","23412.txt","FAILURE"," the figure in the mirage 1905 "
"760","24109.txt","FAILURE"," the capgras shift "
"761","1202.txt","SUCCESS"," tales of unrest "
"762","2148.txt","SUCCESS"," the works of edgar allan poe � volume 2 "
"763","2150.txt","SUCCESS"," the works of edgar allan poe � volume 4 "
"764","23172.txt","SUCCESS"," ""the damned thing 1898"
"765","24975.txt","SUCCESS"," the gift bearer "
"766","28554.txt","SUCCESS"," beyond lies the wub "
"767","28644.txt","SUCCESS"," beyond the door "
"768","29614.txt","SUCCESS"," the game of rat and dragon "
"769","3806.txt","SUCCESS"," ""a modern cinderella or"
"770","7471.txt","SUCCESS"," the man with two left feet and other stories "
"771","12152.txt","FAILURE"," ""keeping watch night watches"
"772","12154.txt","FAILURE"," ""the weaker vessel night watches"
"773","15089.txt","FAILURE"," the deserter "
"774","17453.txt","FAILURE"," up in ardmuirland "
"775","1762.txt","FAILURE"," the consul "
"776","1891.txt","FAILURE"," a plea for old cap collier "
"777","23166.txt","FAILURE"," ""who was she? from """"the atlantic monthly"""" for september"
"778","23174.txt","FAILURE"," a good-for-nothing 1876 "
"779","23176.txt","FAILURE"," a michigan man 1891 "
"780","25056.txt","FAILURE"," the brothers-in-law: a tale of the equatorial islands; and the brass gun of the buccaneers 1901 "
"781","1312.txt","SUCCESS"," selected stories of bret harte "
"782","1743.txt","SUCCESS"," twelve stories and a dream "
"783","23218.txt","SUCCESS"," the red room "
"784","24879.txt","SUCCESS"," ""curious"
"785","26521.txt","SUCCESS"," earthmen bearing gifts "
"786","27462.txt","SUCCESS"," the last evolution "
"787","2777.txt","SUCCESS"," cabbages and kings "
"788","29948.txt","SUCCESS"," two timer "
"789","3815.txt","SUCCESS"," rolling stones "
"790","8129.txt","SUCCESS"," a dreamer's tales "
"791","12417.txt","FAILURE"," fishin' jimmy "
"792","14855.txt","FAILURE"," a few short sketches "
"793","15095.txt","FAILURE"," the story of a picture "
"794","19989.txt","FAILURE"," story-tell lib "
"795","22703.txt","FAILURE"," hooking watermelons 1898 "
"796","22704.txt","FAILURE"," to whom this may come 1898 "
"797","23011.txt","FAILURE"," eatin' crow; and the best man in garotte "
"798","23167.txt","FAILURE"," the man in the reservoir "
"799","23177.txt","FAILURE"," the inmate of the dungeon 1894 "
